source_plate,source_well,destination_plate,destination_well,sample_volume,water_volume,initial_sample_volume,initial_concentration
1,A1,1,A1,,,30,0.662
1,C1,1,B1,,,30,11.2
1,E1,1,C1,,,30,2.22
1,F1,1,D1,,,30,0.81
1,G1,1,E1,,,30,0.166
1,H1,1,F1,,,30,0.174
1,B2,1,G1,,,30,0.174
1,C2,1,H1,,,30,0.244
1,E2,1,A2,,,30,15
1,F2,1,B2,,,30,7.32
1,G2,1,C2,,,30,4.58
1,H2,1,D2,,,30,9.22
1,A3,1,E2,,,30,0.52
1,B3,1,F2,,,30,25
1,C3,1,G2,,,30,59.6
1,D3,1,H2,,,30,16.5
1,E3,1,A3,,,30,5.18
1,F3,1,B3,,,30,0.294
1,G3,1,C3,,,30,0.276
1,H3,1,D3,,,30,0.22
2,B1,,E3,,,30,0.258
2,C1,,F3,,,30,0.478
2,E1,1,G3,,,30,4.1
2,F1,1,H3,,,30,2.22
2,G1,1,A4,,,30,1.7
2,H1,1,B4,,,30,8.24
2,A2,1,C4,,,30,0.234
2,C2,1,D4,,,30,1.09
2,D2,1,E4,,,30,9.64
2,F2,1,F4,,,30,1.51
2,G2,1,G4,,,30,7.26
2,H2,1,H4,,,30,20.6
2,A3,1,A5,,,30,0.194
2,B3,1,B5,,,30,0.36
2,C3,1,C5,,,30,1.38
2,D3,1,D5,,,30,14.3
2,E3,1,E5,,,30,2.98
2,F3,1,F5,,,30,6.32
2,H3,1,G5,,,30,2.7
3,A1,1,H5,,,30,0.664
3,B1,1,A6,,,30,1.44
3,C1,1,B6,,,30,0.148
3,D1,1,C6,,,30,5.8
3,E1,1,D6,,,30,0.262
3,F1,1,E6,,,30,0.214
3,G1,1,F6,,,30,4.74
3,H1,1,G6,,,30,0.188
3,A2,1,H6,,,30,1.71
3,B2,1,A7,,,30,7.98
3,C2,1,B7,,,30,1.85
3,D2,1,C7,,,30,29
3,A3,1,D7,,,30,9.72
3,B3,1,E7,,,30,7.46
3,D3,1,F7,,,30,0.31
3,E3,1,G7,,,30,6.26
3,G3,1,H7,,,30,5.14
4,B1,1,A8,,,30,74.4
4,C1,1,B8,,,30,12.4
4,D1,1,C8,,,30,8.94
4,E1,1,D8,,,30,196
4,F1,1,E8,,,30,36.6
4,G1,1,F8,,,30,8.8
4,H1,1,G8,,,30,40.6
4,A2,1,H8,,,30,83.8
4,B2,1,A9,,,30,17
4,C2,1,B9,,,30,48.4
4,D2,1,C9,,,30,20.8
4,E2,1,D9,,,30,79
4,F2,1,E9,,,30,60.6
4,G2,1,F9,,,30,19.2
4,H2,1,G9,,,30,27.8
4,A3,1,H9,,,30,45.4
4,B3,1,A10,,,30,191
4,C3,1,B10,,,30,83
4,D3,1,C10,,,30,368
4,E3,1,D10,,,30,14.3
4,F3,1,E10,,,30,1.7
4,G3,1,F10,,,30,8.96
5,B1,1,G10,,,30,51.6
5,C1,1,H10,,,30,31.2
5,E1,1,A11,,,30,60.6
5,H1,1,B11,,,30,51.8
5,A2,1,C11,,,30,0.87
5,B2,1,D11,,,30,60
5,C2,1,E11,,,30,12.8
5,D2,1,F11,,,30,27
5,E2,1,G11,,,30,10.5
5,F2,1,H11,,,30,1.2
5,G2,1,A12,,,30,0.752
5,H2,1,B12,,,30,11.3
5,A3,1,C12,,,30,41.2
5,B3,1,D12,,,30,1.37
5,C3,1,E12,,,30,8.14
5,D3,1,F12,,,30,9.18
5,E3,1,G12,,,30,13.6
5,H3,1,H12,,,30,20
