source_plate,source_well,destination_plate,destination_well,sample_vol,water_volume,initial_sample_volume
1,C1,1,B1,1.34,13.66,30
1,E1,1,C1,6.76,8.24,30
1,E2,1,A2,1.00,14.00,30
1,F2,1,B2,2.05,12.95,30
1,G2,1,C2,3.28,11.72,30
1,H2,1,D2,1.63,13.37,30
1,B3,1,F2,1.00,24.00,30
1,C3,1,G2,1.00,58.60,30
1,D3,1,H2,1.00,15.50,30
1,E3,1,A3,2.90,12.10,30
2,E1,1,G3,3.66,11.34,30
2,F1,1,H3,6.76,8.24,30
2,G1,1,A4,8.82,6.18,30
2,H1,1,B4,1.82,13.18,30
2,C2,1,D4,13.76,1.24,30
2,D2,1,E4,1.56,13.44,30
2,F2,1,F4,9.93,5.07,30
2,G2,1,G4,2.07,12.93,30
2,H2,1,H4,1.00,19.60,30
2,C3,1,C5,10.87,4.13,30
2,D3,1,D5,1.05,13.95,30
2,E3,1,E5,5.03,9.97,30
2,F3,1,F5,2.37,12.63,30
2,H3,1,G5,5.56,9.44,30
3,B1,1,A6,10.42,4.58,30
3,D1,1,C6,2.59,12.41,30
3,G1,1,F6,3.16,11.84,30
3,A2,1,H6,8.77,6.23,30
3,B2,1,A7,1.88,13.12,30
3,C2,1,B7,8.11,6.89,30
3,D2,1,C7,1.00,28.00,30
3,A3,1,D7,1.54,13.46,30
3,B3,1,E7,2.01,12.99,30
3,E3,1,G7,2.40,12.60,30
3,G3,1,H7,2.92,12.08,30
4,B1,1,A8,1.00,73.40,30
4,C1,1,B8,1.21,13.79,30
4,D1,1,C8,1.68,13.32,30
4,E1,1,D8,1.00,195.00,30
4,F1,1,E8,1.00,35.60,30
4,G1,1,F8,1.70,13.30,30
4,H1,1,G8,1.00,39.60,30
4,A2,1,H8,1.00,82.80,30
4,B2,1,A9,1.00,16.00,30
4,C2,1,B9,1.00,47.40,30
4,D2,1,C9,1.00,19.80,30
4,E2,1,D9,1.00,78.00,30
4,F2,1,E9,1.00,59.60,30
4,G2,1,F9,1.00,18.20,30
4,H2,1,G9,1.00,26.80,30
4,A3,1,H9,1.00,44.40,30
4,B3,1,A10,1.00,190.00,30
4,C3,1,B10,1.00,82.00,30
4,D3,1,C10,1.00,367.00,30
4,E3,1,D10,1.05,13.95,30
4,F3,1,E10,8.82,6.18,30
4,G3,1,F10,1.67,13.33,30
5,B1,1,G10,1.00,50.60,30
5,C1,1,H10,1.00,30.20,30
5,E1,1,A11,1.00,59.60,30
5,H1,1,B11,1.00,50.80,30
5,B2,1,D11,1.00,59.00,30
5,C2,1,E11,1.17,13.83,30
5,D2,1,F11,1.00,26.00,30
5,E2,1,G11,1.43,13.57,30
5,F2,1,H11,12.50,2.50,30
5,H2,1,B12,1.33,13.67,30
5,A3,1,C12,1.00,40.20,30
5,B3,1,D12,10.95,4.05,30
5,C3,1,E12,1.84,13.16,30
5,D3,1,F12,1.63,13.37,30
5,E3,1,G12,1.10,13.90,30
5,H3,1,H12,1.00,19.00,30
