Sample,source_plate,source_well,destination_plate,destination_well,initial_sample_volume,Initial.concentration,dilution_concentration,sample_vol,final_vol,water_volume,,
A1,1,A1,1,A1,48,4.16,1,2.403846154,10,7.596153846,,1
A3,1,C1,1,B1,48,10.775,1,1.002320186,10.8,9.797679814,,1
A4,1,D1,1,C1,48,5.014,1,1.994415636,10,8.005584364,,1
A5,1,E1,1,D1,48,3.902,1,2.562788314,10,7.437211686,,1
A6,1,F1,1,E1,48,2.766,1,3.615328995,10,6.384671005,,1
A7,1,G1,1,F1,48,2.1,1,4.761904762,10,5.238095238,,1
A8,1,H1,1,G1,48,1.778,1,5.624296963,10,4.375703037,,1
A9,1,A2,1,H1,48,1.82,1,5.494505495,10,4.505494505,,1
A10,1,B2,1,A2,48,2.629,1,3.803727653,10,6.196272347,,1
A11,1,C2,1,B2,48,1.67,1,5.988023952,10,4.011976048,,1
A13,1,E2,1,C2,48,15.828,1,1.004548901,15.9,14.8954511,,1
A14,1,F2,1,D2,48,9.202,1,1.086720278,10,8.913279722,,1
A15,1,G2,1,E2,48,7.824,1,1.278118609,10,8.721881391,,1
A16,1,H2,1,F2,48,12.414,1,1.006927662,12.5,11.49307234,,1
A17,1,A3,1,G2,48,2.416,1,4.139072848,10,5.860927152,,1
A18,1,B3,1,H2,48,23.541,1,1.002506266,23.6,22.59749373,,1
A19,1,C3,1,A3,48,47.225,1,1.001588142,47.3,46.29841186,,1
A20,1,D3,1,B3,48,15.533,1,1.004313397,15.6,14.5956866,,1
A21,1,E3,1,C3,48,8.452,1,1.183151917,10,8.816848083,,1
A22,1,F3,1,D3,48,1.531,1,6.531678641,10,3.468321359,,1
A23,1,G3,1,E3,48,2.093,1,4.777830865,10,5.222169135,,1
A24,1,H3,1,F3,48,1.784,1,5.605381166,10,4.394618834,,1
A25,2,A1,1,G3,48,9.1,1,1.098901099,10,8.901098901,,
A26,2,B1,1,H3,48,5.163,1,1.936858416,10,8.063141584,,
A27,2,C1,1,A4,48,5.168,1,1.93498452,10,8.06501548,,
A28,2,D1,1,B4,48,2.749,1,3.637686431,10,6.362313569,,
A29,2,E1,1,C4,48,9.73,1,1.027749229,10,8.972250771,,
A30,2,F1,1,D4,48,6.561,1,1.524157903,10,8.475842097,,
A31,2,G1,1,E4,48,7.208,1,1.387347392,10,8.612652608,,
A32,2,H1,1,F4,48,13.126,1,1.005637666,13.2,12.19436233,,
A33,2,A2,1,G4,48,3.169,1,3.15556958,10,6.84443042,,
A34,2,B2,1,H4,48,1.353,1,7.390983001,10,2.609016999,,
A35,2,C2,1,A5,48,10.468,1,1.003056935,10.5,9.496943065,,
A36,2,D2,1,B5,48,12.741,1,1.00463072,12.8,11.79536928,,
A37,2,E2,1,C5,48,1.426,1,7.012622721,10,2.987377279,,
A38,2,F2,1,D5,48,9.064,1,1.103265666,10,8.896734334,,
A39,2,G2,1,E5,48,12.917,1,1.006425641,13,11.99357436,,
A40,2,H2,1,F5,48,20.314,1,1.01407896,20.6,19.58592104,,
A41,2,A3,1,G5,48,3.012,1,3.320053121,10,6.679946879,,
A42,2,B3,1,H5,48,6.158,1,1.623903865,10,8.376096135,,
A43,2,C3,1,A6,48,7.801,1,1.281886938,10,8.718113062,,
A44,2,D3,1,B6,48,17.888,1,1.000670841,17.9,16.89932916,,
A45,2,E3,1,C6,48,7.026,1,1.423284942,10,8.576715058,,
