Sample,source_plate,source_well,destination_plate,destination_well,initial_sample_volume,Initial concentration
A1,1,A1,1,A1,48,4.16
A3,1,C1,1,B1,48,10.775
A4,1,D1,1,C1,48,5.014
A5,1,E1,1,D1,48,3.902
A6,1,F1,1,E1,48,2.766
A7,1,G1,1,F1,48,2.1
A8,1,H1,1,G1,48,1.778
A9,1,A2,1,H1,48,1.82
A10,1,B2,1,A2,48,2.629
A11,1,C2,1,B2,48,1.67
A13,1,E2,1,C2,48,15.828
A14,1,F2,1,D2,48,9.202
A15,1,G2,1,E2,48,7.824
A16,1,H2,1,F2,48,12.414
A17,1,A3,1,G2,48,2.416
A18,1,B3,1,H2,48,23.541
A19,1,C3,1,A3,48,47.225
A20,1,D3,1,B3,48,15.533
A21,1,E3,1,C3,48,8.452
A22,1,F3,1,D3,48,1.531
A23,1,G3,1,E3,48,2.093
A24,1,H3,1,F3,48,1.784
A25,2,A1,1,G3,48,9.1
A26,2,B1,1,H3,48,5.163
A27,2,C1,1,A4,48,5.168
A28,2,D1,1,B4,48,2.749
A29,2,E1,1,C4,48,9.73
A30,2,F1,1,D4,48,6.561
A31,2,G1,1,E4,48,7.208
A32,2,H1,1,F4,48,13.126
A33,2,A2,1,G4,48,3.169
A34,2,B2,1,H4,48,1.353
A35,2,C2,1,A5,48,10.468
A36,2,D2,1,B5,48,12.741
A37,2,E2,1,C5,48,1.426
A38,2,F2,1,D5,48,9.064
A39,2,G2,1,E5,48,12.917
A40,2,H2,1,F5,48,20.314
A41,2,A3,1,G5,48,3.012
A42,2,B3,1,H5,48,6.158
A43,2,C3,1,A6,48,7.801
A44,2,D3,1,B6,48,17.888
A45,2,E3,1,C6,48,7.026
A46,2,F3,1,D6,48,11.033
A47,2,G3,1,E6,48,1.702
A48,2,H3,1,F6,48,8.568
A49,3,A1,1,G6,48,3.444
A50,3,B1,1,H6,48,9.841
A51,3,C1,1,A7,48,2.14
A52,3,D1,1,B7,48,9.504
A53,3,E1,1,C7,48,2.703
A54,3,F1,1,D7,48,2.767
A55,3,G1,1,E7,48,2.203
A56,3,H1,1,F7,48,1.944
A57,3,A2,1,G7,48,6.436
A58,3,B2,1,H7,48,13.549
A59,3,C2,1,A8,48,11.472
A60,3,D2,1,B8,48,31.328
A61,3,E2,1,C8,48,5.059
A62,3,F2,1,D8,48,2.111
A63,3,G2,1,E8,48,1.899
A64,3,H2,1,F8,48,1.345
A65,3,A3,1,G8,48,13.076
A66,3,B3,1,H8,48,10.327
A67,3,C3,1,A9,48,2.559
A68,3,D3,1,B9,48,3.03
A69,3,E3,1,C9,48,10.494
A70,3,F3,1,D9,48,1.868
A71,3,G3,1,E9,48,6.87
A72,3,H3,1,F9,48,1.827
B2,4,B1,1,G9,48,34.6
B3,4,C1,1,H9,48,7.34
B4,4,D1,1,A10,48,5.12
B5,4,E1,1,B10,48,130
B6,4,F1,1,C10,48,23
B8,4,H1,1,D10,48,23.6
B9,4,A2,1,E10,48,61.2
B10,4,B2,1,F10,48,10.9
B11,4,C2,1,G10,48,31.6
B12,4,D2,1,H10,48,15.6
B13,4,E2,1,A11,48,51.8
B14,4,F2,1,B11,48,40.8
B15,4,G2,1,C11,48,13.1
B16,4,H2,1,D11,48,35.6
B18,4,B3,1,E11,48,173
B19,4,C3,1,F11,48,62.4
B20,4,D3,1,G11,48,370
B21,4,E3,1,H11,48,11.3
B22,4,F3,1,A12,48,1.11
B23,4,G3,1,B12,48,6.16
B26,4,B1,1,C12,48,36.4
B27,5,C1,1,D12,48,19.6
B29,5,E1,1,E12,48,37
B32,5,,1,F12,48,35.6
