source_plate,source_well,destination_plate,destination_well,sample_vol,water_volume,initial_sample_volume
1,A1,1,A1,2.4,7.6,48
1,C1,1,B1,1.0,9.8,48
1,D1,1,C1,2.0,8.0,48
1,E1,1,D1,2.6,7.4,48
1,F1,1,E1,3.6,6.4,48
1,G1,1,F1,4.8,5.2,48
1,H1,1,G1,5.6,4.4,48
1,A2,1,H1,5.5,4.5,48
1,B2,1,A2,3.8,6.2,48
1,C2,1,B2,6.0,4.0,48
1,E2,1,C2,1.0,14.9,48
1,F2,1,D2,1.1,8.9,48
1,G2,1,E2,1.3,8.7,48
1,H2,1,F2,1.0,11.5,48
1,A3,1,G2,4.1,5.9,48
1,B3,1,H2,1.0,22.6,48
1,C3,1,A3,1.0,46.3,48
1,D3,1,B3,1.0,14.6,48
1,E3,1,C3,1.2,8.8,48
1,F3,1,D3,6.5,3.5,48
1,G3,1,E3,4.8,5.2,48
1,H3,1,F3,5.6,4.4,48
2,A1,1,G3,1.1,8.9,48
2,B1,1,H3,1.9,8.1,48
2,C1,1,A4,1.9,8.1,48
2,D1,1,B4,3.6,6.4,48
2,E1,1,C4,1.0,9.0,48
2,F1,1,D4,1.5,8.5,48
2,G1,1,E4,1.4,8.6,48
2,H1,1,F4,1.0,12.2,48
2,A2,1,G4,3.2,6.8,48
2,B2,1,H4,7.4,2.6,48
2,C2,1,A5,1.0,9.5,48
2,D2,1,B5,1.0,11.8,48
2,E2,1,C5,7.0,3.0,48
2,F2,1,D5,1.1,8.9,48
2,G2,1,E5,1.0,12.0,48
2,H2,1,F5,1.0,19.6,48
2,A3,1,G5,3.3,6.7,48
2,B3,1,H5,1.6,8.4,48
2,C3,1,A6,1.3,8.7,48
2,D3,1,B6,1.0,16.9,48
2,E3,1,C6,1.4,8.6,48
2,F3,1,D6,1.0,10.1,48
2,G3,1,E6,5.9,4.1,48
2,H3,1,F6,1.2,8.8,48
3,A1,1,G6,2.9,7.1,48
3,B1,1,H6,1.0,9.0,48
3,C1,1,A7,4.7,5.3,48
3,D1,1,B7,1.1,8.9,48
3,E1,1,C7,3.7,6.3,48
3,F1,1,D7,3.6,6.4,48
3,G1,1,E7,4.5,5.5,48
3,H1,1,F7,5.1,4.9,48
3,A2,1,G7,1.6,8.4,48
3,B2,1,H7,1.0,12.6,48
3,C2,1,A8,1.0,10.5,48
3,D2,1,B8,1.0,30.4,48
3,E2,1,C8,2.0,8.0,48
3,F2,1,D8,4.7,5.3,48
3,G2,1,E8,5.3,4.7,48
3,H2,1,F8,7.4,2.6,48
3,A3,1,G8,1.0,12.1,48
3,B3,1,H8,1.0,9.4,48
3,C3,1,A9,3.9,6.1,48
3,D3,1,B9,3.3,6.7,48
3,E3,1,C9,1.0,9.5,48
3,F3,1,D9,5.4,4.6,48
3,G3,1,E9,1.5,8.5,48
3,H3,1,F9,5.5,4.5,48
4,B1,1,G9,1.0,33.6,48
4,C1,1,H9,1.4,8.6,48
4,D1,1,A10,2.0,8.0,48
4,E1,1,B10,1.0,129.0,48
4,F1,1,C10,1.0,22.0,48
4,H1,1,D10,1.0,22.6,48
4,A2,1,E10,1.0,60.2,48
4,B2,1,F10,1.0,9.9,48
4,C2,1,G10,1.0,30.6,48
4,D2,1,H10,1.0,14.6,48
4,E2,1,A11,1.0,50.8,48
4,F2,1,B11,1.0,39.8,48
4,G2,1,C11,1.0,12.1,48
4,H2,1,D11,1.0,34.6,48
4,B3,1,E11,1.0,172.0,48
4,C3,1,F11,1.0,61.4,48
4,D3,1,G11,1.0,369.0,48
4,E3,1,H11,1.0,10.3,48
4,F3,1,A12,9.1,1.0,48
4,G3,1,B12,1.6,8.4,48
4,B1,1,C12,1.0,35.4,48
5,C1,1,D12,1.0,18.6,48
5,E1,1,E12,1.0,36.0,48
5,H1,1,F12,1.0,34.6,48
